"Sõne","keel","Hääldus"
"Firthiga","",""
"FIS","",""
"FIS-i","",""
"Fischel","","Fiššel"
"Fischer","","Fiššer"
"Fischer-Dieskau","",""
"Fischertechnik","","Fišer'tehnik"
"Fischman","","Fišman"
"Fischmann","",""
"Fish","","fišš"
"Fishburne'i","",""
"Fisher","","Fišer"
"Fisherman","","Fišermän"
"Fishgrund","",""
"Fishguard","","Fišš'gaard"
"Fishman","",""
"Fisk","",""
"Fiskaalid","",""
"FISKARGATAN","",""
"Fisterrasse","",""
"Fisters","",""
"fisting'ut","",""
"Fit","",""
"Fitch","","Fitš"
"Fitness","","+"
"Fito","","Fito"
"Fitsimonds","",""
"Fitsmaurice'i","",""
"Fitting-","",""
"Fitz","",""
"Fitzgerald","","Fidžerald"
"Fitzgibbon","",""
"Fitzharris","",""
"Fitzjohn","","Fits'džon"
"Fitzjohnilt","",""
"Fitzmaurice","",""
"Fitzpatrick","","Fits'pätrik"
"Fitzpatricku","","Fits'pätriku"
"Fitzroy","","+"
"Fitzsimmons","",""
"Fitzwallace'i","",""
"Fitzwarldiks","",""
"Fitzwilliam","",""
"Fiuggi","",""
"Fiume","",""
"Five","","faiv"
"Fixarum","",""
"fixe'i","",""
"Fixer","",""
"Fixingsit","",""
"Fixxist","",""
"Fizz","",""
"Fizzi","",""
"FJB","",""
"Fjodor","","Fjoodor"
"Fjodorova","","+"
"Fjodorovitš","","+"
"Fjodorovna","",""
"Fjordcharteri","",""
"FK506-le","",""
"Fkih","",""
"FL","",""
"Flack","","fläk"
"Flag","","fläg"
"Flagrante","","flag'rante"
"Flagsis","",""
"Flagstad","",""
"Flagstaffi","",""
"Flaherty","",""
"Flak","",""
"Flake","","Fleik"
"Flamanville","",""
"Flamaville'i","",""
"Flambard","",""
"flambé","",""
"Flambeau","","Flamboo"
"Flame","",""
"Flamenco","",""
"Flamenkolikud","",""
"Flamenkotantsijad","",""
"Flamers","",""
"Flaming","","fleiming"
"Flamingo","",""
"Flanagan","",""
"Flance","",""
"Flanchet","",""
"Flandermayne'i","",""
"Flanders","","+"
"Flandria","","+"
"Flanellikutt","",""
"Flaneur","",""
"Flanigan","",""
"Flannery","",""
"Flapjack","",""
"Flapper","",""
"Flash","","fläšš"
"flashmob'e","",""
"FLASSBECK","",""
"Flateyris","",""
"Flathead","",""
"Flatiron","",""
"Flatley","",""
"Flatman","",""
"Flats","",""
"Flatsis","",""
"Flattenhead","",""
"Flattneri","",""
"Flaubert","","Flobäär"
"Flavia","","Flaavia"
"Flavien","",""
"Flavini","",""
"Flavio","",""
"Flavius","","+"
"Flavr","",""
"Flavumit","",""
"Flax","",""
"Flea","","Flii"
"Flebotomist","",""
"Flebotoomia","",""
"Fleck","",""
"Fleet","","Fliit"
"Fleeting","","Fliiting"
"Fleetwax","","Fliit'väks"
"Fleetwood","","Fliit'vuud"
"Flem","",""
"Fleming","","+"
"Flemming","",""
"Flemnigi","",""
"Flemning","",""
"Flensburgi","",""
"Flesh","","flešš"
"Fletcher","","Fletšer"
"Fletner","",""
"Flettner","",""
"Fleur","","Flöör"
"Fleurs","","Flöörs"
"Flex","","Fleks"
"Flick","","Flik"
"Flicker","","Fliker"
"Flickering","","flikering"
"Flight","","flait"
"Flim","",""
"Flindersi","",""
"Flintlock","",""
"Flintoff","",""
"Flintridge","","Flint'ridž"
"Flintshire","","Flint'šir"
"Flintstein","",""
"Flintstone","","Flint'stõun"
"Flip","","+"
"FLIP-i","",""
"Flipper","","+"
"Flipus","",""
"Flirtimisteraapia","",""
"Fliss","",""
"flitter'eid","",""
"Flitwick","",""
"FLN","",""
"Flo","","+"
"Flo-sugune","",""
"Flocardiga","",""
"Flock","","Flok"
"Flocken","",""
"Flockenstoffen","",""
"Flockenstuffen","",""
"Flod","",""
"Floetry","",""
"Floey","",""
"FloFoxcom","",""
"Flood","","flaad"
"Flop","",""
"Flopsy","",""
"Flora","","+"
"Flore","","Floor"
"Florence","","Florens"
"Florencio","",""
"Florent","",""
"Florentine","",""
"Flores","",""
"Florescu","",""
"Florese","",""
"Florest","",""
"Florey","",""
"Florian","","+"
"Floriana","",""
"Floriane","","Florian"
"Florica","",""
"Florida","","+"
"Florida-lennul","",""
"Florida-reisi","",""
"Florin","",""
"Florine","","Florin"
"Florissant","","Florissaan"
"Florrick","",""
"Florrie","","Florri"
"Florø","",""
"Flossenbürgi","",""
"Flossie","","Flossi"
"Floud","",""
"flow","","flõu"
"Flower","","flauer"
"Flowers","","flauers"
"Floyd","","Floid"
"Flucloxacillini","",""
"Flucoxi","",""
"Fludrozalone","",""
"Fluellen","",""
"Fluellenit","",""
"Fluemazenili","",""
"Fluffles","","Flaff'les"
"Fluffy","","Flaffi"
"Flukonasooli","",""
"Fluksloksatsilliini","",""
"Flumaseniil","",""
"Flumazenili","",""
"Flummerfelt","",""
"Flunitrasepaam","",""
"Flunitrazepam","",""
"Fluoksetiin","",""
"Fluorestseerivad","",""
"Fluorestseerivat","",""
"Fluorestsentsvalgusega","",""
"Fluoridoni","",""
"Fluoroskoop","",""
"Fluoxetine'i","",""
"Flury","",""
"Flüügelhorni","",""
"Flux","",""
"Fly","","flai"
"Flyer","","flaier"
"Flying","","flai'ing"
"Flykt","",""
"Flylingdales'is","",""
"Flylo","",""
"Flyn","",""
"Flynn","","Flinn"
"Flyte","","Fliit"
"FM","",""
"FM-i","",""
"FM-raadiole","",""
"FMM","",""
"FN1","",""
"Fna","",""
"Fo","",""
"Focaccia","",""
"Fochi","",""
"Focus","",""
"Focuse","",""
"Foddy","",""
"föde","","+"
"Foffmann-Wallnerit","",""
"Fofotška","",""
"Fog","",""
"Fogarty","",""
"Fogden","",""
"Foggarty","",""
"Foggenmühle","",""
"Foggia","",""
"Foggy","",""
"FOGH","",""
"Fogle","","Fougl"
"Foie","",""
"Foiniikia","","+"
"Fok","",""
"Fokin","",""
"Foldi","",""
"Folditist","",""
"Foley","","Fouli"
"Folger","",""
"Foli","",""
"Folies","",""
"Folkel","",""
"Folkenhorni","",""
"Folkestone'i","",""
"folkkar'iks","",""
"Folkssturmi","",""
"Folkstone'i","",""
"Folkungagatan","",""
"Foll","",""
"Foll-Yamandé","",""
"Folletile","",""
"Follett","",""
"Folliat","","+"
"Follies","",""
"Folliott","",""
"Folly","",""
"Folsom","",""
"Foma","","Fomaa"
"Fomenko","",""
"Fonajeva","",""
"Fonarnõi","",""
"Fonda","","+"
"Fondos","",""
"Fong","","+"
"Fongi-nimelist","",""
"Fongoli","",""
"Fonoskoopia","",""
"Fontaine","","Fontään"
"Fontainebleau","","Fon'tänebleoo"
"Fontaines'i","",""
"Fontan","",""
"Fontana","",""
"Fontanay-sous-Bois's","",""
"Fontane","","Fon'tein"
"Fontanero","",""
"Fontanes","","Fon'teins"
"Fontenaci","",""
"Fontenay-sous-Bois's","",""
"Fontenot","",""
"Fontenoys","",""
"fontina't","",""
"Fontinaci","",""
"Fontwell","",""
"Fonz","",""
"Food","","fuud"
"Foods","","fuuds"
"Fooldi","",""
"Fooled","",""
"Foolhape","",""
"Fooliumikiht","",""
"Fooliumilehe","",""
"Foot","","fuut"
"Footbag","","fuutbäg"
"Foothill","","Fuut'hill"
"Footil","",""
"Footlightsi","",""
"Footprint","","Fuutprint"
"For","",""
"Foraneo","",""
"Forbach","",""
"Forbes","","Foobs"
"Forbyd","",""
"Force","","fooss"
"Ford","","+"
"Forde'i","",""
"Fordham","","Foodham"
"Fordi-mutt","",""
"Fordman","",""
"Fordson","",""
"Fordwick","",""
"Fordyce","","Foodis"
"Forearm","",""
"Foreign","","forin"
"Foreigner","","foriner"
"Foreman","",""
"Forence'ile","",""
"Forermani","",""
"Forest","","Forist"
"Forester","",""
"Foresti-mutt","",""
"Forgan","",""
"Forge'i","",""
"Forgie","",""
"Forgotten","",""
"FORICHON","",""
"Fork","",""
"Forlan","","For'lan"
"Forley","",""
"Formaldehüüd","",""
"Forman","","+"
"Formby","",""
"Formed","",""
"Formenteral","",""
"Formgren","",""
"Formi","",""
"Formica","",""
"Formosissima","",""
"Formositas","",""
"Fornebu","",""
"Foros","",""
"Förratu","",""
"Forrest","",""
"Forrester","",""
"Forsan","",""
"Forsbergiga","",""
"Forse","",""
"Forselius","","Forseelius"
"Forsell","",""
"Forsgrenska","",""
"Forsil","",""
"Forss","",""
"Forssmann","",""
"Första","",""
"Forster","",""
"Forstis","",""
"Forsty","",""
"Forsyte'i","",""
"Forsyth","",""
"Forsythe","","Foosait"
"Fortanat","",""
"forte's","",""
"forte't","",""
"Forte-osad","",""
"Fortenescu","",""
"Fortepedaal","",""
"Fortescue","","Footiskjuu"
"Fortescue-Cholmeley-Browne","",""
"Fortescue-Cholomondely-Browne","",""
"Fortet","",""
"Fortiesi","",""
"Fortismere","","Footis'meer"
"Fortissimo","",""
"Fortnumis","",""
"Fortnumist","",""
"Fortnumsist","",""
"Fortum","","+"
"Fortuna","","Fortuuna"
"Fortune","","footšön"
"Forum","","Foorum"
"Foscarelli","",""
"Foscateen","",""
"Foscatini","",""
"Foser","",""
"Fosfolipiidi","",""
"Foskett","",""
"Foss","",""
"Fossen","",""
"Fossett","","+"
"Fossey","",""
"Fossi","",""
"Fossiiliotsijad","",""
"Fossmarki","",""
"Fosswell","",""
"Foster","","+"
"Foster/Bayer","",""
"Fostergiga","",""
"Fostersis","",""
"Fothergill","","Fode'gil"
"Fotheringham-Baxter","",""
"Fotherington","",""
"Fothersby","",""
"Fotika","",""
"Fouad","",""
"Fouchier","",""
"Foulcques","",""
"Foulenough","",""
"Foulon","",""
"Found","",""
"Foundation","","Faun'deišön"
"Fountain","","fauntin"
"Fountains","",""
"Fouquet","",""
"Fouquet'sis","",""
"Fouquets'","",""
"Four","",""
"Four'ga","",""
"Fourier","","Furiee"
"Fourly","",""
"Fournier","","Furniee"
"Fousing","",""
"Fouzia","",""
"Fowler","",""
"Fowleri-suguse","",""
"Fowles","",""
"Fowlkes","","Foulkes"
"Fox","","+"
"Fox-Kirby","",""
"Foxcatcher","",""
"Foxely","",""
"Foxhall","",""
"Foxley","","Foksli"
"Foxman","",""
"Foxton","",""
"Foxtrot","",""
"Foxtrot-4","",""
"Foxy","",""
"Foyle","",""
"FP","",""
"Fr","",""
"Fra","","fraa"
"Fragmini","",""
"fraiche","","fraišš"
"Frain","",""
"Fraktaalantennidel","",""
"Fraktaalid","",""
"Fraktaalne","",""
"Fraktalism","",""
"Fraktsioonijuhid","",""
"Fram","","Framm"
"Frambu","",""
"Framgång","",""
"Frampton","",""
"Fran","",""
"Franc","","Frank"
"français","","franssee"
"Française","","fransseez"
"Francatelli","",""
"France","","Fraans"
"France2","",""
"France24","",""
"Frances","","Fränsis"
"Francesca","","Frantseska"
"Francescagi","",""
"Francesco","","Frantsesko"
"Francette","",""
"Franchonid","",""
"Franciacorta","",""
"Francine","","Frans'siin"
"Francis","","Fränsis"
"Francisco","","Frän'sisko"
"Franciscus","","Frantsiskus"
"Francisost","",""
"Franciszek","",""
"Franck","","Frank"
"Franco","","+"
"Franco-järgse","",""
"François","","Fransuaa"
"François-Joseph","",""
"François-René","",""
"Francsiscos","",""
"Francziszek","",""
"Frandsen","",""
"Franek","",""
"frangipane'le","",""
"Frangipanio","",""
"Frank","","Fränk"
"Frank-Duff","",""
"Franken-Reagan","",""
"Frankenhaeuseriga","",""
"Frankenstein","","+"
"Frankenstein-mesilasteks","",""
"Frankfurdi","","+"
"Frankfurt","","+"
"Frankfurter","","+"
"Frankhausen","",""
"FRANKHAUSER","",""
"Franki-sugused","",""
"Franki-suguseid","",""
"Frankie","","Fränki"
"Frankie-mamma","",""
"Frankie-poisiks","",""
"Frankie-poiss","",""
"Frankie-poisu","",""
"Frankland","",""
"Franklin","","Fränklin"
"Franklyn","",""
"Franksi","",""
"Frankstonis","",""
"Frannie","","Fränni"
"Franny","",""
"Frans","","+"
"Fransisco","",""
"Fransson","",""
"Frantisek","",""
"Frantsevitš","","+"
"Frantsevna","","+"
"Frantsiskus","","+"
"Frantz","","Frants"
"Franus","",""
"Franz","","Frants"
"Franzikene","",""
"Franziska","",""
"Franzo","",""
"Franzu","",""
"Frappuccino","",""
"Fraser","","Freizer"
"Fraseri-nimelist","",""
"Fraseri-sugused","",""
"Frasier","",""
"Fraternité","","fraternitee"
"Fratres","",""
"Frau","","+"
"Fräulein","","fröilin"
"Fraunhoferi","",""
"Frayn","",""
"Frazer","","Freiser"
"Frazier","","Freisier"
"FRDC","",""
"Freak","","friik"
"Freaky","","friiki"
"Frears","",""
"Freathy","",""
"Fred","","Freed"
"Freda","","Frida"
"fredda'ks","",""
"Freddie","","Fredi"
"Freddy","","Fredi"
"Freddy-Betty","",""
"Frédéric","","Frederik"
"Fredericia","",""
"Frederick","","+"
"Frederico","","Frede'riko"
"Frederik","","+"
"Frederikke","",""
"Frederiksberg","","+"
"Frederiksholm","","+"
"Frederiku","",""
"Frederyk","",""
"Fredi-sugune","",""
"Fredman","","+"
"Fredo","",""
"Fredric","",""
"Fredrik","","+"
"Fredriksholm","","+"
"Fredriksson","","Fredrikson"
"Fredrikstad","","+"
"Fredy","",""
"Free","","frii"
"Freebird","","Friibööd"
"Freedman","","Friidman"
"Freedom","","friidom"
"Freeman","","Friiman"
"Freemantle","","Frii'mantl"
"Freestone","",""
"freestyle","","friistail"
"FREETH","",""
"Freetown","","Friitaun"
"Fréhel","",""
"Frei","",""
"Freiberga","","+"
"Freibergs","",""
"Freiburg","",""
"Freimut","",""
"Freindlihh","",""
"FREIRE","",""
"Freizeit","",""
"Freizeitgestaltung","",""
"Freja","","+"
"Fremont","",""
"French","","frentš"
"Frencham","","Frentšäm"
"Frenchina","",""
"Frenckell","",""
"Frenie","","Friini"
"Frenkel","",""
"Frensham","",""
"Freooni-","",""
"Freosse","",""
"Frepalsi","",""
"Frescat","",""
"Fresco","","fresco"
"Frescobaldi","",""
"Fresh","","frešš"
"Freshkills-park","",""
"Freshwater","","freššvooter"
"Fresno","","+"
"Fretus","",""
"Freuchen","",""
"Freud","","Fröid"
"Freudenthal","",""
"Freudilik","","fröidilik"
"Freund","","Fröind"
"Freundschaft","","Fröind'šaft"
"Frever","",""
"Freverti","",""
"Frey","",""
"Freya","","Freja"
"Freyr","",""
"Friar","",""
"Friar's","",""
"Friberg","",""
"Fribourg'is","",""
"Frick","",""
"FRICKE","",""
"Frida","","+"
"Frida-mütsi","",""
"Friday","","fraidi"
"Fridemann","",""
"Fridenberg","",""
"Frideswide","",""
"Fridi","",""
"Fridtjof","","+"
"Fried","",""
"Frieda","","Friida"
"Friedan","",""
"Friedebert","","Friidebert"
"Friedelind","",""
"Friedemann","","Friideman"
"Frieden","",""
"Friedensalleelt","",""
"Friedken","",""
"Friedlandi","",""
"Friedman","","Fridman"
"Friedrich","","Friidrih"
"Friedrichstrasse","","Friidrih'strasse"
"Friedy","",""
"Friel","",""
"Friend","","frend"
"Friendface","","frend'feiss"
"Friendship","","frendšip"
"FrifgtFestil","",""
"Frigleys","",""
"Frigo","",""
"Frigyes","",""
"Friigietendus","",""
"Friikad","",""
"Friikapoiss","",""
"Friikšikid","",""
"Friiserjäätis","",""
"Friisimaa","","+"
"Frimptonisse","",""
"Frinton-on-Sea","",""
"Frintonis","",""
"Fripp","",""
"Frippsi","",""
"Frisch","","Frišš"
"Frisco","","+"
"Frishman","",""
"Frisk","","+"
"Frist","",""
"Fristonis","",""
"Friteerimine","",""
"Friteerimisnõu","",""
"Fritidsresor","","Fri'tids'resor"
"Fritjof","","+"
"Fritjolf","",""
"Fritsukingule","",""
"Fritsukink","",""
"Fritsukinku","",""
"Frittata'st","",""
"frittata't","",""
"fritter'eid","",""
"frittes'ist","",""
"Frittimisrasva","",""
"Fritz","","Frits"
"Fröbergi","",""
"Frobisher","",""
"Frode","",""
"FrodeMonberg","",""
"Frodo","",""
"Frodonid","",""
"Froggatt","",""
"Frogi","",""
"Frogneri","",""
"Frol","",""
"Frolov","","Frol'ov"
"Froluška","",""
"From","",""
"Fromage","","fromaaž"
"fromages'i","",""
"Fromm","",""
"Fromme'i","",""
"Frontaal-parietaalne","",""
"Frontal","",""
"Frontenac","",""
"Frontier","",""
"Frontiers","",""
"Frontiersmani","",""
"Frontignani","",""
"Frontline","","frontlain"
"Frösåker","",""
"Frost","","+"
"FrostFX","",""
"Frosticle","","Frostikl"
"Frosticles","","Frostikls"
"Frosticlesi-proua","",""
"Frosties","","Frostis"
"Frosty","","frosti"
"Frown","",""
"Froy","",""
"Fru","",""
"Fruing","",""
"Fruitsi","",""
"Fruity","",""
"Frumpid","",""
"Frumpiga","",""
"Frunze","","Frunse"
"Frusemide'i","",""
"Frutt","",""
"Frutti","","fruti"
"Fruzsina","",""
"Fry","","Frai"
"Fryderyk","",""
"Frye-o-Chari","",""
"Fryer","","Fraier"
"Frykowski","",""
"Frølya","",""
"Frøya","",""
"FSB","",""
"FSB-agent","",""
"FSH","",""
"Ftalaadid","",""
"FTP3","",""
"FTSE","",""
"Fu","",""
"Fu-ming","",""
"Fuad","",""
"Fuchs","","Fuks"
"Fuchsia","","fuksia"
"Fuck","","fakk"
"Fuckin","","fakin"
"Fucking","","faking"
"Fudgy","",""
"Fueli","",""
"Fuengirola","",""
"Fuengirolas","",""
"Fuentes","","Fu'entes"
"Fuerteventura","",""
"Fugattile","",""
"Fugett","",""
"Fuglegaardi","",""
"Fuhh","",""
"Fühl","","füül"
"Führer","","füürer"
"Fui","",""
"Fuijani","",""
"Fuji","","Fudži"
"Fujii","",""
"Fujiyama","","Fudžijama"
"Fukui","",""
"Fukumi","","Fu'kumi"
"Fukuoka","","Fuku'oka"
"Fukushima","","+"
"Fukuyama","","Fuku'jama"
"Fulbrighti","",""
"Fulbrite'i","",""
"Fuld","",""
"Fulham","","Fulhäm"
"Fuli","",""
"Full","","+"
"Fullbrigth","","Ful'brait"
"Fuller","","+"
"Fullerton","",""
"Fullington","",""
"Fulmer","",""
"Fultonis","",""
"Fulworth","",""
"Fum","",""
"Fun","",""
"Funabashi","",""
"Funch","",""
"Funchali","",""
"Fundación","",""
"Fundamentalismi","",""
"Fundamentalist","",""
"Fundamentalistidel","",""
"Funday","",""
"Fundi","",""
"Funding","","fanding"
"Fundoskoopia","",""
"Funduluse","",""
"Fundy","",""
"Funes","","Fjunee"
"Fung","",""
"FunGo","",""
"Fungoteraapia","",""
"Funicula","",""
"Funiculi","",""
"Funk'i","",""
"funki/soul'i","",""
"Funky","","fanki"
"funky'lik","",""
"funky'liku","",""
"Funny","","fanni"
"Funshire'i","",""
"Funtikov","","+"
"Fur","",""
"Furenga","",""
"Furey","",""
"Furfieldi","",""
"Furkassovski","",""
"Furmanisse","",""
"Furmanjuk","",""
"Furmanovsky","",""
"Furnival","",""
"Furo","",""
"Furosemiid","",""
"Furrowbank","","Furrou'bänk"
"Fursan","",""
"Fürst","","+"
"Furstranda","",""
"Furtado","",""
"Fürth","","Fürt"
"Furtseva","",""
"Furuvik","",""
"Fury","","fjuri"
"Fusari","",""
"Fuschia","",""
"Fushist","",""
"Fushunist","",""
"Fusion","",""
"Fusobacterium","",""
"Fusobakterid","",""
"Füsostigmiin","",""
"Fussi","",""
"Futaki","",""
"Futenma","",""
"Futtonda","",""
"Futuna","","Futuuna"
"Future","",""
"Fuugakunst","",""
"Fuwad","",""
"Fuxi","",""
"fuzz'iploki","",""
"FX","",""
"Fyfe","","Faif"
"Fyfieldi","",""
"Fylingdale","","Failingdeil"
"Fyni","",""
"Fynil","",""
"Fyra","",""
"Fyrudden","",""
"Fælledi","",""
"Føli","",""
"Fønhus","",""
"Fønsmark","",""
"G","",""
"G'mar","",""
"G-3","",""
"G-49","",""
"G-a-l","",""
"G-a-l-e-n-d-e-r","",""
"G-a-r-r-e-t-t","",""
"G-d","",""
"G-e-o-r-g","",""
"G-G-Gideon","",""
"G-ga","",""
"G-H","",""
"G-le","",""
"G-ni","",""
"G-Plani-seeria","",""
"G-Stari","",""
"G-Z","",""
"G2","",""
"G20","",""
"G4S","",""
"G7","",""
"G77","",""
"G8","",""
"G9","",""
"GA","",""
"GA3","",""
"Gaabriel","",""
"Gaanalased","",""
"Gabbana","",""
"Gabbataks","",""
"Gabby","","Gäbbi"
"Gabdhidamis","",""
"Gabe","","Geib"
"Gabi","",""
"Gable","","Geibl"
"Gablerit","",""
"Gablesi","",""
"Gabon","",""
"Gaborones","",""
"Gabriadze","",""
"Gabriel","","+"
"Gabrieliide","",""
"Gabriella","","+"
"Gabrielle","","Gabriell"
"Gabrielle-sugust","",""
"Gabroski","",""
"Gabus","",""
"Gabuza","",""
"Gada","",""
"Gadaffi","",""
"Gadd","",""
"Gaddafi","","Ga'dafi"
"Gaddy","",""
"Gadele","",""
"Gadget","","gädžit"
"Gadoxis","",""
"Gadsden","",""
"Gadus","",""
"Gaelle","",""
"Gaeton","",""
"Gaffelgrändil","",""
"Gaffney","","Gaffni"
"Gafieira","",""
"Gafner","",""
"Gaga","","+"
"Gagan","",""
"Gagandipika","",""
"Gagarin","","Gagaarin"
"Gagarini-nimelise","",""
"Gagnaire","",""
"Gah'","",""
"Gah'st","",""
"Gahi","",""
"GÄHLER","",""
"Gaia","",""
"Gaida","",""
"Gaidar","","Gaid'ar"
"Gaietys","",""
"Gail","","Geil"
"Gain","",""
"Gaines","",""
"Gainsbarre","",""
"Gainsborough","","Geinsboro"
"Gainsbourg","","Göös'buur"
"Gainsville'ist","",""
"Gaitana","",""
"Gaius","",""
"Gajeva","",""
"Gajevski","",""
"Gakuya","",""
"Gal","",""
"Gala","",""
"Galactica","","galaktika"
"Galahad","",""
"Galahadi","",""
"Galahhov","",""
"Galaktikatevaheline","",""
"Galante","",""
"Galapagos","","Galaapagos"
"Galatea","","Galat'ea"
"Galaxy","",""
"Galbard","",""
"GALBRAIGHT","",""
"GALBRAITH","",""
"Galbraithis","",""
"Galcole","",""
"Gale","","Geil"
"Galeb","",""
"Galen","",""
"Galender","",""
"Galenus","",""
"Galeriiomanik","",""
"Galerist","",""
"Galetskaya","",""
"Galgo","",""
"Galia","",""
"Galibier'","",""
"Galicia","","Galiitsia"
"Galigheril","",""
"Galil","",""
"Galilea","","+"
"Galilealane","",""
"Galileamaalt","",""
"Galilei","","+"
"Galileo","","+"
"Galimõi","",""
"Galina","","Galiina"
"Galindo","",""
"Galip","",""
"Galipi","",""
"Galipoli","",""
"GALISON","",""
"Galitši","",""
"Galja","","+"
"Galjake","",""
"Galjarda","",""
"Gallaccio","","Galatšio"
"Gallagher","","Gallager"
"Gallant","",""
"GALLEBAUT","",""
"Gallebaut'","",""
"Gallego","",""
"Galleja","",""
"Galleri","",""
"Gallery","",""
"GALLESE","",""
"Gallia","","+"
"Gallia-Rooma","",""
"Galliano","",""
"GALLIMORE","",""
"Gallipoli","",""
"Gallo","",""
"Galloway","","Gällovei"
"Gallowgate","","Gälou'geit"
"Gällsted","",""
"Galojan","",""
"Galore","","Galoor"
"Galrandi","",""
"Galsworthy","",""
"Galtimore","",""
"Galton","",""
"Galvani","","Gal'vani"
"Galvatron","","+"
"Galveston","",""
"Galvin","",""
"Galway","",""
"Galzada","",""
"Gam","",""
"Gama","",""
"Gamaliel","",""
"Gamay","",""
"GAMBACINI","",""
"Gambier","",""
"Gambini","",""
"Gamble","","Gämbl"
"Gamboll","",""
"Gamborg","",""
"Game","","geim"
"Gameboy","","geim'boi"
"Gamehill","","Geimhill"
"Gamelin","",""
"Games","","geims"
"Games2train'i","",""
"Gami","",""
"Gamle-Sigler-Huff","",""
"Gammage","","Gämmidž"
"Gammals","",""
"Gammalsvenskby","",""
"Gammel","",""
"Gamsahhurdia","",""
"Gandalf","","+"
"Ganden","",""
"Ganderi","",""
"Ganderis","",""
"Gandhi","","Gandi"
"Gandil","",""
"Gandini","",""
"Gandor","",""
"Gandy","",""
"Ganes","",""
"Ganeša","",""
"Ganesh","",""
"Ganetškast","",""
"Gang","","gäng"
"Ganga","",""
"Gangatorisse","",""
"Ganges","","+"
"Gängidevahelised","",""
"GANGOLF","",""
"Gangrenoosne","",""
"Ganimat","",""
"Ganin","",""
"Ganini-sugused","",""
"Ganja","",""
"ganja'ks","",""
"Ganjake","",""
"Ganjakesele","",""
"Ganjas","",""
"Ganka","",""
"Gannon","",""
"GANNUŠKINA","",""
"Gannuškini","",""
"Gansa","",""
"Gansler","",""
"Gansu","",""
"Gant","",""
"Gantry","","Gantri"
"Gantsikloviiri","",""
"Ganz","",""
"Ganzat","",""
"GAO","",""
"Gaosia","",""
"Gapis","",""
"Garage","",""
"Garage48","",""
"Garai","",""
"Garamba","",""
"Garanca","",""
"Garate","",""
"Garavan","",""
"Garavani","",""
"Garay","",""
"Garbata","",""
"Garbatkasse","",""
"Garbo","","+"
"Garches'i","",""
"Garcia","","Garssiia"
"Garda","",""
"Gardakoti","",""
"Gardam","",""
"Gardel","",""
"Gardelle","","Gardell"
"Gardemariinid","",""
"Garden","","gaaden"
"Gardenali","",""
"Gardener","","gaadener"
"Gardeni-nimeliste","",""
"Gardens","","Gaadens"
"Gärdetis","",""
"Gardezi","",""
"Gardfordi","",""
"Gardner","",""
"Gardno","",""
"Gare","",""
"Garegin","",""
"Garel","",""
"GARELLA","",""
"Gareth","","Gäref"
"Garfield","","Gaar'fiild"
"Garfiled","",""
"Garfordist","",""
"Garfunkel","","+"
"Gargan","",""
"Gargari","",""
"Gargasi","",""
"Gargouillou","",""
"Gari","",""
"Garibaldi","","Gari'baldi"
"Garik","",""
"Garipova","",""
"Garkalin","",""
"Garklavs","",""
"Garland","","+"
"Garlic","","gaalik"
"Garling","",""
"Garmaš","","+"
"Garmisch-Partenkirchen","",""
"Garmischi","",""
"GarmischPartenkirchenisse","",""
"Garmsiris","",""
"Garner","",""
"Garnik","",""
"Gärnter","",""
"Garõar","",""
"Garonne","","Ga'ronn"
"Garret","","Gärret"
"Garrett","","Gärret"
"Garri","","+"
"Garrick","",""
"Garrido","",""
"Garrison","","+"
"Garrityle","",""
"Garros","",""
"Garroway","",""
"Garry","",""
"Garside","",""
"Garson","",""
"Garsson","",""
"Garstang","",""
"Garston","",""
"Garstoni","",""
"Garten","","+"
"Gartenstrasse","",""
"Garter","",""
"Gartfordi","",""
"Garth","","Gaaf"
"Gärtner","","+"
"Gartside","",""
"garum'i","",""
"Garvey","","Gaavi"
"Garvie","","Gaavi"
"Garvin","","Gaavin"
"Gary","","Gari"
"Gary-poiss","",""
"Garyounise","",""
"Gas","",""
"Gaš-Bil-Bethuel-Bazda","",""
"Gas-Eze'i","",""
"GÅSBAKK","",""
"Gascogne","","Gaskoon"
"Gascoigne","","Gaskoon"
"Gascoine","","Gaskoon"
"Gasimov","",""
"Gaskell","",""
"Gaškov","",""
"Gaspard","","Gäspaar"
"Gasparone","",""
"Gasperi","",""
"Gasperino","",""
"Gaspre","",""
"Gassion","",""
"Gassman","",""
"Gassnerile","",""
"Gastaldi","",""
"Gastarbeiter","",""
"Gaston","","Gastoon"
"Gastro-pubi","",""
"Gastroenteriit","",""
"Gastroenteroloog","",""
"Gastrograafia","",""
"Gastrointestinaalne","",""
"Gastrointestinaalsed","",""
"Gastrollid","",""
"Gastronomique","",""
"Gastroskoop","",""
"Gastroskoopia","",""
"Gastrostoomi","",""
"Gate","","Geit"
"Gateaux","","Gatoo"
"Gatenges","",""
"Gates","","Geits"
"Gateshead","","Geitshed"
"Gatesi-Taggarti","",""
"Gateway","",""
"Gatfordi","",""
"Gatleigh","",""
"Gato","",""
"Gatorade'i","",""
"Gatoriga","",""
"Gatsby","","Gätsbi"
"Gatšetšiladze","",""
"Gatšina","",""
"Gattericki","",""
"Gatti","",""
"Gattuccio","","Gat'tutšo"
"Gattuso","","Gatuuso"
"Gatwick","","Gät'tuik"
"Gaubert","",""
"Gaucha","",""
"gauchada't","",""
