"Sõne","keel","Hääldus"
"(Viljandi)","",""
"(Viron)","",""
"(või","",""
"(Vola)","",""
"(võlad)","",""
"(Volare)","",""
"(võõrtööline)","",""
"(Wikluh","",""
"(x+1)","",""
"(x+3)","",""
"**Moodsa","",""
"+","",""
"-20°-ne","et","miinus kahekümnekraadine"
"-Ei","",""
"-Hästi","",""
"-Hei","",""
"-Jah","",""
"-Kasper","",""
"-Lanceti","",""
"-Lapse","et","la'pse"
"-Ma","",""
"-Pajusti","",""
"-Rasked","",""
"-Raudteekompanii","",""
"-Saksa","",""
"-Siis","",""
"-Ta","",""
"-Taavet","",""
"-Tahad","",""
"-Tahaks","",""
"-Täielik","",""
"-Tallinn","",""
"-Täna","",""
"-Tänan","",""
"-Täpselt","",""
"-Tartu","",""
"-Tasa","",""
"-Tead","",""
"-Teie","",""
"-Teile","",""
"-Tere","",""
"-Tere-tere","",""
"-Toimeta","",""
"-Too","",""
"-Tõukasid","",""
"-Trudnaja","",""
"-Tule","",""
"-Tulemus","",""
"-Tulge","",""
"-Tuneesia","",""
"-Tuua","",""
"-Tuul","",""
"-Üks","",""
"-Vaata","",""
"-Väike","et","väi'ke"
"-Võib-olla","",""
"-Võid","",""
"-Võin","",""
"/","",""
"005%","",""
"041A","",""
"1%","et","üksprotsent"
"1%-list","",""
"1-R","",""
"1/0-vikrüül","",""
"1/2-ga","",""
"1/3","et","üks kolmandik"
"1/4","et","üks neljandik"
"1/5","et","üks viiendik"
"10%","",""
"10%eesmärgist","",""
"10%elanikkonnast","",""
"10%intressi","",""
"10%kandis","",""
"10%naftatuludest","",""
"10-15%","et","kümmekuniviisteistprots'enti"
"10/5-ga","",""
"100%","et","sadaprots'enti"
"100%-liselt","",""
"100%-list","",""
"100/60","et","sadakuuekümnele"
"103C","",""
"104/56","",""
"106/64","",""
"10B","",""
"11%","",""
"110F","et","sadakümme eff"
"11B","et","üksteist bee"
"12%-lt","",""
"12/8","",""
"120K","",""
"124/78","",""
"124/80","",""
"125%-ni","",""
"12B","et","kaksteist bee"
"12°","et","kaksteistkraadi"
"12°C","et","kaksteistkraaditselsiust"
"13%","",""
"130/82","",""
"132/84","",""
"13B","et","kolmteist bee"
"13X","",""
"14%","",""
"14%eest","",""
"14/B/14\\\X-8","et","14 bee 14 jagatudiksmiinuskaheksaga"
"146%","",""
"15%","",""
"15%-ne","",""
"150/90","",""
"17%on","",""
"175/100","et","sadaseitsekmmendviis sajale"
"17D","",""
"18-AASTASE","",""
"18B","",""
"194/126","et","sadaüheksakümmendneli sajakahekümnekuuele"
"1999/2000","",""
"19C","",""
"1B","",""
"2%","",""
"2/3","et","kakskolmandikku"
"20%","",""
"20%ulatuses","",""
"21%-le","",""
"21A","et","kakskümmend'üks aa"
"22B","et","kakskümmend'kaksbee"
"24A","",""
"25%-le","",""
"25-30%","et","25 kuni kolmkümmendprots'enti"
"27B","",""
"28/17","",""
"2B","et","teinebee"
"2B3","et","kaksbeekolm"
"2CV-d","et","kaks tsee veed"
"2D","et","kaksdee"
"2G","",""
"2G-315","et","kaks gee 315"
"2O-liitrised","",""
"2XC","",""
"3%-le","",""
"3-2-Alfa","",""
"3-2-Alpha","",""
"3-Biosyn","",""
"30%","",""
"30%naisi","",""
"30%odavamat","",""
"30-36%","et","kolmkümmend kuni 36%"
"300%","et","kolmsadaprots'enti"
"30km/h","",""
"30OSA","et","30 osa"
"34%","",""
"3456C","",""
"35%-list","",""
"35-AASTANE","",""
"36B","et","36 bee"
"37D","",""
"38DD","",""
"3B","",""
"3C","et","kolmtsee"
"3D","et","kolmdee"
"3D-animatsiooni","",""
"3D-filmist","",""
"3D-kujudega","",""
"3D-modelleerimine","",""
"3D-mudeli","",""
"3D-piltmõistatust","",""
"3D-printeri","",""
"3D-printerid","",""
"3D-printimine","",""
"3D-ülekannet","",""
"3FM","",""
"3JS","et","kolmjottess"
"3L-rühm","et","kolmasellrühm"
"3TC","et","kolmteetsee"
"4%-le","",""
"4-F","",""
"4-H","et","nelihaa"
"4-MEC","",""
"4-P","",""
"4/4-le","",""
"40%","",""
"40%sigadest","",""
"42%-se","",""
"42B","et","42 bee"
"43%","",""
"438C","et","438 c"
"45%","",""
"45%puhul","",""
"48%","",""
"4A","et","4 aa"
"4ab³","",""
"4a²","",""
"4a³b","",""
"4D-ultraheli","",""
"4G","",""
"4K-pilti","",""
"4K-resolutsiooniga","",""
"4Kust","",""
"4S","",""
"4Seisis","",""
"4x6=24","",""
"5%","",""
"5%-ni","et","viieprots'endini"
"5%ebaõnnestumisohtu","",""
"5%ettemaksu","",""
"5%maailma","",""
"5%välja","",""
"5-Plus","et","vispluss"
"50%","",""
"50%dekstroosis","",""
